Gender, Race
Female,Asian
Male,Caucasian
Male,Asian
Male,Caucasian
Male,Hispanic
Female ,African American
Female ,Caucasian
Female ,Caucasian
Female,Hispanic
Male,Hispanic
Female,African American
Female ,African American
Male,Hispanic
Female ,African American
Female ,Asian
Male,Caucasian
Female ,African American
Female ,Caucasian
Male ,Hispanic
Male,Hispanic
Female ,African American
Female ,African American
Male,Caucasian
Female ,African American
Male,Caucasian
Female,Asian
Female ,African American
Female ,Asian
Female,Asian
Male ,Hispanic
Male ,Hispanic
Female,Asian
Male ,Hispanic
Male,Caucasian
Male,Hispanic
Female,African American
Female ,African American
Male ,Hispanic
Male,Caucasian
Female ,Asian
Female,African American
Female ,Caucasian
Female,Hispanic
Female,African American
Male,Asian
Male,Hispanic
Female,Hispanic
Male ,Hispanic
Male,Hispanic
Female ,Caucasian
Male ,Hispanic
Female ,Caucasian
Male ,Hispanic
Male,Hispanic
Male,Caucasian
Female,Hispanic
Male,Asian
Female,Hispanic
Male,Asian
Male,Caucasian
Female ,Asian
Female ,Caucasian
Female,Hispanic
Male,Hispanic
Male,Caucasian
Male ,Hispanic
Male,Hispanic
Male,Asian
Female,Hispanic
Female ,Caucasian
Female ,African American
Male,Hispanic
Female ,Caucasian
Male ,Hispanic
Female,Hispanic
Female,Asian
Female,Hispanic
Female,African American
Female ,Asian
Female ,Asian
Female ,African American
Male ,Hispanic
Female,Asian
Female ,African American
Female ,Caucasian
Female,African American
Female ,Caucasian
Male,Caucasian
Female ,Caucasian
Male,Hispanic
Female,Hispanic
Female,Hispanic
Male,Asian
Female,Hispanic
Male,Caucasian
Male ,Hispanic
Female ,African American
Female ,Caucasian
Female ,African American
Male,Caucasian
Male,Asian
Female ,Caucasian
Female,Hispanic
Female,Asian
Female ,African American
Female ,African American
Female,Hispanic
Female,Hispanic
Male,Hispanic
Male,Asian
Male,Caucasian
Female ,African American
Male,Caucasian
Female ,Asian
Female ,Caucasian